I0	Myrmecophagidae
I1	Megalonychidae
I2	NA
I3	Chlamyphoridae
I4	NA
I5	NA
I6	Tenrecidae
I7	NA
I8	NA
I9	NA
I10	Procaviidae
I11	NA
I12	NA
I13	NA
I14	NA
I15	Mustelidae
I16	Mustelidae
I17	Mustelidae
I18	NA
I19	NA
I20	Phocidae
I21	Phocidae
I22	NA
I23	NA
I24	NA
I25	Ursidae
I26	NA
I27	Canidae
I28	Canidae
I29	Canidae
I30	NA
I31	Felidae
I32	Felidae
I33	Felidae
I34	Felidae
I35	Felidae
I36	Felidae
I37	Herpestidae
I38	Herpestidae
I39	NA
I40	NA
I41	NA
I42	NA
I43	NA
I44	Manidae
I45	NA
I46	Equidae
I47	Equidae
I48	Tapiridae
I49	Rhinocerotidae
I50	Rhinocerotidae
I51	Rhinocerotidae
I52	NA
I53	NA
I54	NA
I55	Bovidae
I56	Bovidae
I57	Bovidae
I58	Bovidae
I59	Bovidae
I60	Bovidae
I61	Bovidae
I62	Bovidae
I63	Bovidae
I64	Bovidae
I65	Bovidae
I66	Bovidae
I67	Bovidae
I68	NA
I69	Cervidae
I70	Cervidae
I71	NA
I72	Giraffidae
I73	NA
I74	NA
I75	NA
I76	Ziphiidae
I77	Delphinidae
I78	Phocoenidae
I79	Monodontidae
I80	NA
I81	NA
I82	NA
I83	NA
I84	NA
I85	NA
I86	NA
I87	Balaenopteridae
I88	NA
I89	NA
I90	NA
I91	NA
I92	NA
I93	NA
I94	NA
I95	Camelidae
I96	Camelidae
I97	Camelidae
I98	NA
I99	NA
I100	NA
I101	Hipposideridae
I102	NA
I103	NA
I104	Pteropodidae
I105	Pteropodidae
I106	Pteropodidae
I107	Pteropodidae
I108	NA
I109	Vespertilionidae
I110	Vespertilionidae
I111	Vespertilionidae
I112	Vespertilionidae
I113	Vespertilionidae
I114	Vespertilionidae
I115	Vespertilionidae
I116	Miniopteridae
I117	NA
I118	NA
I119	Phyllostomidae
I120	Phyllostomidae
I121	Phyllostomidae
I122	Phyllostomidae
I123	Phyllostomidae
I124	Mormoopidae
I125	NA
I126	NA
I127	NA
I128	NA
I129	NA
I130	Talpidae
I131	Talpidae
I132	Soricidae
I133	NA
I134	NA
I135	NA
I136	NA
I137	Muridae
I138	Muridae
I139	Muridae
I140	Muridae
I141	Muridae
I142	Muridae
I143	Muridae
I144	Cricetidae
I145	Cricetidae
I146	Cricetidae
I147	Cricetidae
I148	Cricetidae
I149	Cricetidae
I150	Cricetidae
I151	Cricetidae
I152	NA
I153	NA
I154	NA
I155	Dipodidae
I156	Dipodidae
I157	NA
I158	Heteromyidae
I159	Heteromyidae
I160	NA
I161	NA
I162	NA
I163	NA
I164	NA
I165	NA
I166	NA
I167	Caviidae
I168	Caviidae
I169	NA
I170	NA
I171	NA
I172	NA
I173	NA
I174	Bathyergidae
I175	NA
I176	NA
I177	NA
I178	NA
I179	NA
I180	NA
I181	Sciuridae
I182	Sciuridae
I183	Sciuridae
I184	NA
I185	Gliridae
I186	Gliridae
I187	NA
I188	NA
I189	Leporidae
I190	NA
I191	NA
I192	Tupaiidae
I193	NA
I194	Lemuridae
I195	Lemuridae
I196	Indriidae
I197	Cheirogaleidae
I198	Cheirogaleidae
I199	NA
I200	NA
I201	NA
I202	NA
I203	Cebidae
I204	NA
I205	Cebidae
I206	Cebidae
I207	NA
I208	Atelidae
I209	NA
I210	Pitheciidae
I211	NA
I212	Cercopithecidae
I213	Cercopithecidae
I214	Cercopithecidae
I215	Cercopithecidae
I216	Cercopithecidae
I217	Cercopithecidae
I218	Cercopithecidae
I219	Cercopithecidae
I220	Cercopithecidae
I221	Cercopithecidae
I222	Cercopithecidae
I223	Cercopithecidae
I224	Cercopithecidae
I225	Cercopithecidae
I226	Cercopithecidae
I227	Hominidae
I228	Hominidae
I229	Hominidae
I230	Hominidae
I231	NA
I232	NA
I233	NA
I234	NA
I235	NA
I236	NA
I237	NA
I238	NA
I239	NA
